Id:,20259
Estación:,ZACATEPEC (SMN)-OAX
Posición:,17.1586111111N -95.915W
Variable:,Evaporación (mm)
Fecha Inicial:,04/01/1975
Fecha Final:,12/01/1986
No Dato:,nan
Mes,Día,Anio,Datos
04,01,1975,14.6
04,02,1975,11.7
04,03,1975,5.4
04,04,1975,null
04,05,1975,null
04,06,1975,null
04,07,1975,null
04,08,1975,null
04,09,1975,null
04,10,1975,null
04,11,1975,null
04,12,1975,null
04,13,1975,null
04,14,1975,null
04,15,1975,null
04,16,1975,null
04,17,1975,null
04,18,1975,null
04,19,1975,null
04,20,1975,null
04,21,1975,null
04,22,1975,null
04,23,1975,null
04,24,1975,null
04,25,1975,null
04,26,1975,null
04,27,1975,null
04,28,1975,null
04,29,1975,null
04,30,1975,null
05,01,1975,null
05,02,1975,null
05,03,1975,null
05,04,1975,null
05,05,1975,null
05,06,1975,null
05,07,1975,null
05,08,1975,null
05,09,1975,null
05,10,1975,null
05,11,1975,null
05,12,1975,null
05,13,1975,null
05,14,1975,null
05,15,1975,null
05,16,1975,null
05,17,1975,null
05,18,1975,null
05,19,1975,null
05,20,1975,null
05,21,1975,null
05,22,1975,null
05,23,1975,null
05,24,1975,null
05,25,1975,null
05,26,1975,null
05,27,1975,null
05,28,1975,null
05,29,1975,null
05,30,1975,null
05,31,1975,null
06,01,1975,null
06,02,1975,null
06,03,1975,null
06,04,1975,null
06,05,1975,null
06,06,1975,null
06,07,1975,null
06,08,1975,null
06,09,1975,null
06,10,1975,null
06,11,1975,null
06,12,1975,null
06,13,1975,null
06,14,1975,null
06,15,1975,null
06,16,1975,null
06,17,1975,null
06,18,1975,null
06,19,1975,null
06,20,1975,null
06,21,1975,null
06,22,1975,null
06,23,1975,null
06,24,1975,null
06,25,1975,null
06,26,1975,null
06,27,1975,null
06,28,1975,null
06,29,1975,null
06,30,1975,null
07,01,1975,3.2
07,02,1975,1.3
07,03,1975,2.1
07,04,1975,1.5
07,05,1975,1.9
07,06,1975,0.6
07,07,1975,1.6
07,08,1975,3.5
07,09,1975,1.5
07,10,1975,0.9
07,11,1975,1.8
07,12,1975,0.6
07,13,1975,1.5
07,14,1975,1.0
07,15,1975,0.8
07,16,1975,0.4
07,17,1975,0.6
07,18,1975,0.4
07,19,1975,1.9
07,20,1975,1.2
07,21,1975,1.5
07,22,1975,2.3
07,23,1975,1.0
07,24,1975,1.8
07,25,1975,1.7
07,26,1975,0.6
07,27,1975,1.0
07,28,1975,0.4
07,29,1975,2.6
07,30,1975,1.4
07,31,1975,null
08,01,1975,null
08,02,1975,null
08,03,1975,null
08,04,1975,null
08,05,1975,null
08,06,1975,null
08,07,1975,null
08,08,1975,null
08,09,1975,null
08,10,1975,null
08,11,1975,null
08,12,1975,null
08,13,1975,null
08,14,1975,null
08,15,1975,null
08,16,1975,null
08,17,1975,null
08,18,1975,null
08,19,1975,null
08,20,1975,null
08,21,1975,null
08,22,1975,null
08,23,1975,null
08,24,1975,null
08,25,1975,null
08,26,1975,null
08,27,1975,null
08,28,1975,null
08,29,1975,null
08,30,1975,null
08,31,1975,null
09,01,1975,0.6
09,02,1975,1.1
09,03,1975,1.0
09,04,1975,1.9
09,05,1975,2.4
09,06,1975,2.4
09,07,1975,4.2
09,08,1975,1.8
09,09,1975,2.7
09,10,1975,3.3
09,11,1975,4.7
09,12,1975,4.4
09,13,1975,2.4
09,14,1975,5.3
09,15,1975,6.4
09,16,1975,4.4
09,17,1975,3.5
09,18,1975,2.8
09,19,1975,2.0
09,20,1975,2.6
09,21,1975,3.5
09,22,1975,3.0
09,23,1975,2.2
09,24,1975,4.3
09,25,1975,4.1
09,26,1975,4.5
09,27,1975,2.1
09,28,1975,3.8
09,29,1975,4.6
09,30,1975,null
10,01,1975,5.2
10,02,1975,5.7
10,03,1975,4.1
10,04,1975,5.1
10,05,1975,3.5
10,06,1975,2.8
10,07,1975,2.0
10,08,1975,2.0
10,09,1975,1.8
10,10,1975,3.3
10,11,1975,6.3
10,12,1975,4.0
10,13,1975,1.4
10,14,1975,2.8
10,15,1975,4.8
10,16,1975,5.2
10,17,1975,4.8
10,18,1975,3.6
10,19,1975,4.6
10,20,1975,5.5
10,21,1975,5.3
10,22,1975,5.7
10,23,1975,4.9
10,24,1975,4.7
10,25,1975,4.8
10,26,1975,2.5
10,27,1975,1.7
10,28,1975,null
10,29,1975,null
10,30,1975,4.8
10,31,1975,null
11,01,1975,4.1
11,02,1975,4.7
11,03,1975,5.2
11,04,1975,2.8
11,05,1975,3.3
11,06,1975,4.3
11,07,1975,4.9
11,08,1975,4.4
11,09,1975,4.7
11,10,1975,4.4
11,11,1975,5.2
11,12,1975,2.2
11,13,1975,5.2
11,14,1975,3.0
11,15,1975,1.8
11,16,1975,3.7
11,17,1975,5.5
11,18,1975,4.1
11,19,1975,6.3
11,20,1975,5.8
11,21,1975,2.9
11,22,1975,4.6
11,23,1975,3.5
11,24,1975,4.6
11,25,1975,5.6
11,26,1975,4.3
11,27,1975,7.4
11,28,1975,5.7
11,29,1975,4.4
11,30,1975,null
12,01,1975,3.9
12,02,1975,4.2
12,03,1975,4.7
12,04,1975,6.3
12,05,1975,5.4
12,06,1975,3.9
12,07,1975,4.4
12,08,1975,6.7
12,09,1975,4.9
12,10,1975,4.9
12,11,1975,4.8
12,12,1975,8.6
12,13,1975,4.7
12,14,1975,3.7
12,15,1975,4.2
12,16,1975,4.1
12,17,1975,5.7
12,18,1975,4.7
12,19,1975,6.5
12,20,1975,7.5
12,21,1975,7.1
12,22,1975,4.0
12,23,1975,7.6
12,24,1975,4.8
12,25,1975,5.0
12,26,1975,3.3
12,27,1975,3.9
12,28,1975,5.3
12,29,1975,3.9
12,30,1975,null
12,31,1975,null
01,01,1976,3.7
01,02,1976,5.0
01,03,1976,4.6
01,04,1976,5.3
01,05,1976,7.3
01,06,1976,5.2
01,07,1976,9.0
01,08,1976,3.3
01,09,1976,6.7
01,10,1976,4.3
01,11,1976,6.4
01,12,1976,3.9
01,13,1976,3.8
01,14,1976,2.6
01,15,1976,4.8
01,16,1976,3.8
01,17,1976,4.7
01,18,1976,4.9
01,19,1976,5.0
01,20,1976,5.1
01,21,1976,2.9
01,22,1976,4.6
01,23,1976,3.4
01,24,1976,6.1
01,25,1976,4.6
01,26,1976,5.0
01,27,1976,4.7
01,28,1976,3.9
01,29,1976,4.1
01,30,1976,5.6
01,31,1976,null
02,01,1976,3.7
02,02,1976,5.0
02,03,1976,4.6
02,04,1976,5.3
02,05,1976,4.3
02,06,1976,5.5
02,07,1976,5.6
02,08,1976,4.4
02,09,1976,5.3
02,10,1976,5.6
02,11,1976,5.3
02,12,1976,5.0
02,13,1976,3.7
02,14,1976,4.8
02,15,1976,5.2
02,16,1976,6.2
02,17,1976,5.9
02,18,1976,3.9
02,19,1976,6.2
02,20,1976,5.7
02,21,1976,6.7
02,22,1976,5.7
02,23,1976,4.9
02,24,1976,4.8
02,25,1976,5.3
02,26,1976,6.3
02,27,1976,3.8
02,28,1976,null
02,29,1976,null
03,01,1976,6.9
03,02,1976,5.0
03,03,1976,4.7
03,04,1976,4.9
03,05,1976,7.1
03,06,1976,6.0
03,07,1976,6.6
03,08,1976,5.9
03,09,1976,4.7
03,10,1976,6.2
03,11,1976,4.1
03,12,1976,4.6
03,13,1976,4.7
03,14,1976,5.7
03,15,1976,7.1
03,16,1976,4.8
03,17,1976,4.7
03,18,1976,7.7
03,19,1976,5.8
03,20,1976,4.1
03,21,1976,4.4
03,22,1976,5.2
03,23,1976,7.0
03,24,1976,3.3
03,25,1976,3.3
03,26,1976,5.0
03,27,1976,3.7
03,28,1976,4.6
03,29,1976,3.3
03,30,1976,null
03,31,1976,null
04,01,1976,4.8
04,02,1976,3.8
04,03,1976,2.8
04,04,1976,3.7
04,05,1976,3.6
04,06,1976,4.2
04,07,1976,4.7
04,08,1976,5.4
04,09,1976,3.9
04,10,1976,4.7
04,11,1976,3.7
04,12,1976,2.6
04,13,1976,2.1
04,14,1976,3.1
04,15,1976,4.6
04,16,1976,4.3
04,17,1976,7.6
04,18,1976,4.0
04,19,1976,5.3
04,20,1976,6.4
04,21,1976,4.4
04,22,1976,4.2
04,23,1976,5.4
04,24,1976,4.8
04,25,1976,5.6
04,26,1976,1.6
04,27,1976,2.8
04,28,1976,5.9
04,29,1976,null
04,30,1976,null
05,01,1976,4.0
05,02,1976,4.8
05,03,1976,5.1
05,04,1976,5.4
05,05,1976,5.7
05,06,1976,4.9
05,07,1976,5.4
05,08,1976,7.1
05,09,1976,5.0
05,10,1976,4.9
05,11,1976,6.5
05,12,1976,4.1
05,13,1976,5.8
05,14,1976,4.4
05,15,1976,3.6
05,16,1976,3.7
05,17,1976,4.7
05,18,1976,4.4
05,19,1976,3.2
05,20,1976,4.0
05,21,1976,5.4
05,22,1976,4.5
05,23,1976,4.0
05,24,1976,6.0
05,25,1976,3.5
05,26,1976,4.3
05,27,1976,4.0
05,28,1976,3.7
05,29,1976,4.3
05,30,1976,0.4
05,31,1976,null
06,01,1976,null
06,02,1976,3.0
06,03,1976,2.9
06,04,1976,1.8
06,05,1976,4.7
06,06,1976,3.8
06,07,1976,1.0
06,08,1976,2.2
06,09,1976,2.9
06,10,1976,1.1
06,11,1976,3.6
06,12,1976,1.8
06,13,1976,3.3
06,14,1976,3.2
06,15,1976,0.6
06,16,1976,2.9
06,17,1976,3.7
06,18,1976,4.0
06,19,1976,3.4
06,20,1976,4.3
06,21,1976,0.6
06,22,1976,3.7
06,23,1976,1.9
06,24,1976,4.9
06,25,1976,1.5
06,26,1976,2.6
06,27,1976,3.4
06,28,1976,1.3
06,29,1976,2.6
06,30,1976,null
07,01,1976,2.9
07,02,1976,5.0
07,03,1976,1.8
07,04,1976,3.5
07,05,1976,2.8
07,06,1976,4.7
07,07,1976,0.6
07,08,1976,2.4
07,09,1976,3.0
07,10,1976,3.5
07,11,1976,3.8
07,12,1976,5.4
07,13,1976,3.4
07,14,1976,2.6
07,15,1976,1.6
07,16,1976,1.8
07,17,1976,2.6
07,18,1976,3.7
07,19,1976,2.9
07,20,1976,3.2
07,21,1976,3.9
07,22,1976,3.6
07,23,1976,4.2
07,24,1976,6.1
07,25,1976,4.5
07,26,1976,6.3
07,27,1976,5.4
07,28,1976,4.6
07,29,1976,3.9
07,30,1976,2.0
07,31,1976,null
08,01,1976,null
08,02,1976,null
08,03,1976,null
08,04,1976,null
08,05,1976,null
08,06,1976,null
08,07,1976,null
08,08,1976,null
08,09,1976,null
08,10,1976,null
08,11,1976,null
08,12,1976,null
08,13,1976,null
08,14,1976,null
08,15,1976,null
08,16,1976,null
08,17,1976,null
08,18,1976,null
08,19,1976,null
08,20,1976,null
08,21,1976,null
08,22,1976,null
08,23,1976,null
08,24,1976,null
08,25,1976,null
08,26,1976,null
08,27,1976,null
08,28,1976,null
08,29,1976,null
08,30,1976,null
08,31,1976,null
09,01,1976,5.6
09,02,1976,4.8
09,03,1976,4.6
09,04,1976,4.6
09,05,1976,4.8
09,06,1976,1.5
09,07,1976,2.9
09,08,1976,3.7
09,09,1976,2.9
09,10,1976,6.4
09,11,1976,3.0
09,12,1976,3.8
09,13,1976,3.0
09,14,1976,4.9
09,15,1976,3.6
09,16,1976,4.5
09,17,1976,2.7
09,18,1976,1.2
09,19,1976,1.5
09,20,1976,3.0
09,21,1976,4.5
09,22,1976,1.2
09,23,1976,1.4
09,24,1976,4.2
09,25,1976,1.4
09,26,1976,1.0
09,27,1976,1.0
09,28,1976,0.6
09,29,1976,3.3
09,30,1976,null
10,01,1976,4.1
10,02,1976,3.5
10,03,1976,3.9
10,04,1976,4.6
10,05,1976,4.5
10,06,1976,2.0
10,07,1976,2.1
10,08,1976,2.4
10,09,1976,2.7
10,10,1976,2.9
10,11,1976,3.7
10,12,1976,3.7
10,13,1976,4.5
10,14,1976,5.1
10,15,1976,5.4
10,16,1976,4.6
10,17,1976,4.2
10,18,1976,2.2
10,19,1976,4.8
10,20,1976,2.3
10,21,1976,4.7
10,22,1976,4.1
10,23,1976,4.7
10,24,1976,4.1
10,25,1976,3.9
10,26,1976,3.9
10,27,1976,4.1
10,28,1976,3.7
10,29,1976,4.7
10,30,1976,null
10,31,1976,null
11,01,1976,4.6
11,02,1976,2.0
11,03,1976,4.9
11,04,1976,3.2
11,05,1976,1.9
11,06,1976,2.0
11,07,1976,2.0
11,08,1976,3.2
11,09,1976,3.9
11,10,1976,3.2
11,11,1976,3.4
11,12,1976,3.3
11,13,1976,3.1
11,14,1976,2.9
11,15,1976,3.7
11,16,1976,2.5
11,17,1976,2.6
11,18,1976,2.3
11,19,1976,3.5
11,20,1976,1.4
11,21,1976,4.5
11,22,1976,3.6
11,23,1976,3.6
11,24,1976,5.0
11,25,1976,4.1
11,26,1976,3.9
11,27,1976,3.3
11,28,1976,3.8
11,29,1976,3.3
11,30,1976,null
12,01,1976,3.5
12,02,1976,2.9
12,03,1976,3.4
12,04,1976,3.0
12,05,1976,3.0
12,06,1976,2.1
12,07,1976,4.6
12,08,1976,1.5
12,09,1976,2.5
12,10,1976,2.7
12,11,1976,2.7
12,12,1976,4.6
12,13,1976,3.3
12,14,1976,3.4
12,15,1976,4.8
12,16,1976,3.1
12,17,1976,3.1
12,18,1976,3.2
12,19,1976,2.7
12,20,1976,3.5
12,21,1976,3.6
12,22,1976,2.9
12,23,1976,2.5
12,24,1976,3.8
12,25,1976,3.1
12,26,1976,3.9
12,27,1976,2.9
12,28,1976,2.0
12,29,1976,4.0
12,30,1976,null
12,31,1976,null
01,01,1977,1.7
01,02,1977,2.1
01,03,1977,3.2
01,04,1977,3.4
01,05,1977,7.2
01,06,1977,4.8
01,07,1977,2.5
01,08,1977,1.7
01,09,1977,3.8
01,10,1977,3.6
01,11,1977,2.7
01,12,1977,4.0
01,13,1977,4.1
01,14,1977,2.9
01,15,1977,4.9
01,16,1977,3.2
01,17,1977,2.2
01,18,1977,2.6
01,19,1977,2.0
01,20,1977,3.4
01,21,1977,2.0
01,22,1977,3.6
01,23,1977,3.0
01,24,1977,3.2
01,25,1977,5.9
01,26,1977,0.2
01,27,1977,2.7
01,28,1977,4.3
01,29,1977,2.6
01,30,1977,3.5
01,31,1977,null
02,01,1977,2.9
02,02,1977,2.7
02,03,1977,2.9
02,04,1977,4.3
02,05,1977,2.0
02,06,1977,2.8
02,07,1977,4.1
02,08,1977,3.3
02,09,1977,3.5
02,10,1977,3.2
02,11,1977,2.4
02,12,1977,2.6
02,13,1977,3.7
02,14,1977,3.1
02,15,1977,2.6
02,16,1977,3.5
02,17,1977,4.0
02,18,1977,2.8
02,19,1977,2.4
02,20,1977,3.4
02,21,1977,4.1
02,22,1977,4.2
02,23,1977,4.1
02,24,1977,2.2
02,25,1977,4.7
02,26,1977,5.2
02,27,1977,3.0
02,28,1977,null
03,01,1977,5.1
03,02,1977,2.7
03,03,1977,3.4
03,04,1977,3.1
03,05,1977,2.6
03,06,1977,12.3
03,07,1977,3.6
03,08,1977,3.4
03,09,1977,4.7
03,10,1977,3.2
03,11,1977,3.0
03,12,1977,2.1
03,13,1977,2.8
03,14,1977,3.0
03,15,1977,2.6
03,16,1977,3.6
03,17,1977,4.4
03,18,1977,4.3
03,19,1977,4.2
03,20,1977,2.0
03,21,1977,2.7
03,22,1977,2.9
03,23,1977,1.2
03,24,1977,2.2
03,25,1977,3.7
03,26,1977,2.9
03,27,1977,3.1
03,28,1977,5.1
03,29,1977,3.3
03,30,1977,null
03,31,1977,null
04,01,1977,3.9
04,02,1977,3.8
04,03,1977,3.4
04,04,1977,2.9
04,05,1977,3.1
04,06,1977,3.5
04,07,1977,4.3
04,08,1977,2.1
04,09,1977,3.7
04,10,1977,3.0
04,11,1977,3.9
04,12,1977,3.4
04,13,1977,2.8
04,14,1977,3.8
04,15,1977,2.5
04,16,1977,3.6
04,17,1977,3.2
04,18,1977,3.0
04,19,1977,3.8
04,20,1977,3.9
04,21,1977,4.2
04,22,1977,4.2
04,23,1977,3.5
04,24,1977,4.5
04,25,1977,3.7
04,26,1977,2.3
04,27,1977,3.6
04,28,1977,4.3
04,29,1977,3.8
04,30,1977,null
05,01,1977,3.3
05,02,1977,3.0
05,03,1977,4.5
05,04,1977,4.4
05,05,1977,1.9
05,06,1977,4.3
05,07,1977,3.0
05,08,1977,2.9
05,09,1977,4.8
05,10,1977,4.4
05,11,1977,7.7
05,12,1977,3.3
05,13,1977,4.0
05,14,1977,3.2
05,15,1977,3.0
05,16,1977,1.7
05,17,1977,3.1
05,18,1977,3.7
05,19,1977,4.4
05,20,1977,4.6
05,21,1977,3.8
05,22,1977,2.6
05,23,1977,2.8
05,24,1977,2.6
05,25,1977,3.4
05,26,1977,1.9
05,27,1977,2.1
05,28,1977,2.7
05,29,1977,2.2
05,30,1977,null
05,31,1977,null
06,01,1977,3.8
06,02,1977,4.1
06,03,1977,3.1
06,04,1977,4.2
06,05,1977,3.9
06,06,1977,2.0
06,07,1977,3.2
06,08,1977,2.0
06,09,1977,2.0
06,10,1977,1.8
06,11,1977,1.9
06,12,1977,3.3
06,13,1977,2.9
06,14,1977,2.8
06,15,1977,2.3
06,16,1977,3.6
06,17,1977,2.3
06,18,1977,2.1
06,19,1977,3.5
06,20,1977,2.3
06,21,1977,1.7
06,22,1977,2.7
06,23,1977,1.6
06,24,1977,3.8
06,25,1977,3.1
06,26,1977,2.8
06,27,1977,2.8
06,28,1977,3.6
06,29,1977,1.0
06,30,1977,null
07,01,1977,1.6
07,02,1977,2.6
07,03,1977,2.4
07,04,1977,2.6
07,05,1977,2.8
07,06,1977,3.2
07,07,1977,4.2
07,08,1977,3.2
07,09,1977,2.0
07,10,1977,3.6
07,11,1977,4.0
07,12,1977,4.0
07,13,1977,3.4
07,14,1977,2.5
07,15,1977,3.8
07,16,1977,2.9
07,17,1977,2.1
07,18,1977,1.8
07,19,1977,2.4
07,20,1977,3.6
07,21,1977,2.4
07,22,1977,5.9
07,23,1977,1.0
07,24,1977,2.1
07,25,1977,1.8
07,26,1977,2.8
07,27,1977,3.4
07,28,1977,2.9
07,29,1977,2.6
07,30,1977,3.5
07,31,1977,null
08,01,1977,4.5
08,02,1977,5.3
08,03,1977,3.9
08,04,1977,3.2
08,05,1977,1.6
08,06,1977,4.0
08,07,1977,1.7
08,08,1977,3.5
08,09,1977,3.2
08,10,1977,3.0
08,11,1977,3.7
08,12,1977,2.3
08,13,1977,2.5
08,14,1977,3.2
08,15,1977,3.6
08,16,1977,3.3
08,17,1977,1.8
08,18,1977,2.1
