Id:,20249
Estación:,C.A.E. DEL ITSMO-OAX
Posición:,16.4666666667N -95.0W
Variable:,Evaporación (mm)
Fecha Inicial:,06/01/1975
Fecha Final:,02/01/1983
No Dato:,nan
Mes,Día,Anio,Datos
06,01,1975,null
06,02,1975,null
06,03,1975,null
06,04,1975,null
06,05,1975,null
06,06,1975,null
06,07,1975,null
06,08,1975,null
06,09,1975,null
06,10,1975,null
06,11,1975,8.2
06,12,1975,null
06,13,1975,null
06,14,1975,null
06,15,1975,null
06,16,1975,null
06,17,1975,null
06,18,1975,null
06,19,1975,null
06,20,1975,null
06,21,1975,null
06,22,1975,null
06,23,1975,null
06,24,1975,null
06,25,1975,null
06,26,1975,null
06,27,1975,null
06,28,1975,null
06,29,1975,null
06,30,1975,null
07,01,1975,13.0
07,02,1975,13.8
07,03,1975,12.0
07,04,1975,11.6
07,05,1975,10.8
07,06,1975,5.7
07,07,1975,7.1
07,08,1975,2.5
07,09,1975,14.7
07,10,1975,15.3
07,11,1975,7.3
07,12,1975,10.3
07,13,1975,0.9
07,14,1975,0.9
07,15,1975,6.8
07,16,1975,6.9
07,17,1975,1.8
07,18,1975,8.6
07,19,1975,6.1
07,20,1975,8.5
07,21,1975,7.3
07,22,1975,10.7
07,23,1975,5.9
07,24,1975,11.5
07,25,1975,5.0
07,26,1975,5.1
07,27,1975,0.9
07,28,1975,5.4
07,29,1975,9.3
07,30,1975,null
07,31,1975,8.2
08,01,1975,null
08,02,1975,null
08,03,1975,null
08,04,1975,null
08,05,1975,null
08,06,1975,null
08,07,1975,null
08,08,1975,null
08,09,1975,null
08,10,1975,null
08,11,1975,null
08,12,1975,null
08,13,1975,null
08,14,1975,null
08,15,1975,null
08,16,1975,null
08,17,1975,null
08,18,1975,null
08,19,1975,null
08,20,1975,null
08,21,1975,null
08,22,1975,null
08,23,1975,null
08,24,1975,null
08,25,1975,null
08,26,1975,null
08,27,1975,null
08,28,1975,null
08,29,1975,null
08,30,1975,null
08,31,1975,null
09,01,1975,null
09,02,1975,null
09,03,1975,null
09,04,1975,null
09,05,1975,null
09,06,1975,null
09,07,1975,null
09,08,1975,null
09,09,1975,null
09,10,1975,null
09,11,1975,null
09,12,1975,null
09,13,1975,null
09,14,1975,null
09,15,1975,null
09,16,1975,null
09,17,1975,null
09,18,1975,null
09,19,1975,null
09,20,1975,null
09,21,1975,null
09,22,1975,null
09,23,1975,null
09,24,1975,null
09,25,1975,null
09,26,1975,null
09,27,1975,null
09,28,1975,null
09,29,1975,null
09,30,1975,null
10,01,1975,null
10,02,1975,null
10,03,1975,null
10,04,1975,null
10,05,1975,null
10,06,1975,null
10,07,1975,null
10,08,1975,null
10,09,1975,null
10,10,1975,null
10,11,1975,null
10,12,1975,null
10,13,1975,null
10,14,1975,null
10,15,1975,null
10,16,1975,null
10,17,1975,null
10,18,1975,null
10,19,1975,null
10,20,1975,null
10,21,1975,null
10,22,1975,null
10,23,1975,null
10,24,1975,null
10,25,1975,null
10,26,1975,null
10,27,1975,null
10,28,1975,null
10,29,1975,null
10,30,1975,null
10,31,1975,null
11,01,1975,3.7
11,02,1975,11.0
11,03,1975,7.6
11,04,1975,1.2
11,05,1975,9.3
11,06,1975,9.3
11,07,1975,7.7
11,08,1975,9.6
11,09,1975,7.5
11,10,1975,5.1
11,11,1975,8.8
11,12,1975,11.0
11,13,1975,10.5
11,14,1975,7.8
11,15,1975,12.0
11,16,1975,10.0
11,17,1975,9.5
11,18,1975,11.1
11,19,1975,17.4
11,20,1975,3.9
11,21,1975,8.3
11,22,1975,8.8
11,23,1975,9.6
11,24,1975,8.7
11,25,1975,9.6
11,26,1975,9.1
11,27,1975,7.1
11,28,1975,8.2
11,29,1975,6.2
11,30,1975,7.6
12,01,1975,7.4
12,02,1975,8.8
12,03,1975,10.8
12,04,1975,10.1
12,05,1975,10.0
12,06,1975,7.2
12,07,1975,9.8
12,08,1975,9.2
12,09,1975,2.2
12,10,1975,10.0
12,11,1975,11.0
12,12,1975,11.3
12,13,1975,10.3
12,14,1975,9.9
12,15,1975,7.7
12,16,1975,11.1
12,17,1975,8.1
12,18,1975,12.3
12,19,1975,10.4
12,20,1975,8.4
12,21,1975,5.9
12,22,1975,10.4
12,23,1975,12.0
12,24,1975,4.6
12,25,1975,null
12,26,1975,7.6
12,27,1975,6.2
12,28,1975,3.9
12,29,1975,5.0
12,30,1975,9.9
12,31,1975,null
01,01,1976,null
01,02,1976,11.9
01,03,1976,9.9
01,04,1976,8.2
01,05,1976,10.8
01,06,1976,9.2
01,07,1976,7.4
01,08,1976,6.7
01,09,1976,9.5
01,10,1976,14.5
01,11,1976,11.1
01,12,1976,10.0
01,13,1976,11.4
01,14,1976,11.2
01,15,1976,11.3
01,16,1976,14.1
01,17,1976,16.8
01,18,1976,7.0
01,19,1976,12.9
01,20,1976,13.9
01,21,1976,10.8
01,22,1976,9.2
01,23,1976,15.0
01,24,1976,12.3
01,25,1976,5.4
01,26,1976,3.6
01,27,1976,12.1
01,28,1976,13.8
01,29,1976,8.7
01,30,1976,12.9
01,31,1976,8.0
02,01,1976,8.9
02,02,1976,4.3
02,03,1976,13.6
02,04,1976,7.1
02,05,1976,5.6
02,06,1976,6.6
02,07,1976,6.4
02,08,1976,null
02,09,1976,9.4
02,10,1976,7.0
02,11,1976,11.3
02,12,1976,13.7
02,13,1976,13.9
02,14,1976,12.2
02,15,1976,null
02,16,1976,7.0
02,17,1976,12.1
02,18,1976,6.4
02,19,1976,8.4
02,20,1976,8.8
02,21,1976,5.4
02,22,1976,11.3
02,23,1976,6.9
02,24,1976,null
02,25,1976,15.1
02,26,1976,14.3
02,27,1976,11.7
02,28,1976,16.9
02,29,1976,11.3
03,01,1976,7.2
03,02,1976,9.1
03,03,1976,7.1
03,04,1976,6.4
03,05,1976,6.7
03,06,1976,12.7
03,07,1976,10.2
03,08,1976,8.5
03,09,1976,8.6
03,10,1976,15.7
03,11,1976,10.0
03,12,1976,7.4
03,13,1976,12.2
03,14,1976,15.5
03,15,1976,10.0
03,16,1976,9.2
03,17,1976,6.0
03,18,1976,12.0
03,19,1976,8.9
03,20,1976,7.0
03,21,1976,5.4
03,22,1976,16.2
03,23,1976,10.0
03,24,1976,12.3
03,25,1976,5.3
03,26,1976,6.6
03,27,1976,8.0
03,28,1976,7.0
03,29,1976,7.7
03,30,1976,8.1
03,31,1976,null
04,01,1976,15.2
04,02,1976,15.1
04,03,1976,4.5
04,04,1976,null
04,05,1976,8.9
04,06,1976,14.2
04,07,1976,8.4
04,08,1976,9.0
04,09,1976,12.0
04,10,1976,17.6
04,11,1976,null
04,12,1976,6.9
04,13,1976,6.1
04,14,1976,17.2
04,15,1976,15.6
04,16,1976,6.9
04,17,1976,7.5
04,18,1976,8.0
04,19,1976,8.8
04,20,1976,9.2
04,21,1976,10.7
04,22,1976,7.8
04,23,1976,8.6
04,24,1976,8.4
04,25,1976,5.3
04,26,1976,5.7
04,27,1976,11.3
04,28,1976,7.3
04,29,1976,5.9
04,30,1976,8.3
05,01,1976,null
05,02,1976,13.7
05,03,1976,11.7
05,04,1976,14.7
05,05,1976,12.0
05,06,1976,3.2
05,07,1976,15.6
05,08,1976,7.3
05,09,1976,2.3
05,10,1976,5.9
05,11,1976,7.4
05,12,1976,13.6
05,13,1976,10.9
05,14,1976,6.4
05,15,1976,6.7
05,16,1976,5.2
05,17,1976,9.5
05,18,1976,11.5
05,19,1976,2.8
05,20,1976,8.3
05,21,1976,7.9
05,22,1976,3.0
05,23,1976,4.7
05,24,1976,16.3
05,25,1976,8.1
05,26,1976,8.2
05,27,1976,8.5
05,28,1976,7.2
05,29,1976,9.6
05,30,1976,7.9
05,31,1976,5.6
06,01,1976,null
06,02,1976,null
06,03,1976,null
06,04,1976,null
06,05,1976,null
06,06,1976,null
06,07,1976,null
06,08,1976,null
06,09,1976,null
06,10,1976,null
06,11,1976,null
06,12,1976,null
06,13,1976,null
06,14,1976,null
06,15,1976,null
06,16,1976,null
06,17,1976,null
06,18,1976,null
06,19,1976,null
06,20,1976,null
06,21,1976,null
06,22,1976,null
06,23,1976,null
06,24,1976,null
06,25,1976,null
06,26,1976,null
06,27,1976,null
06,28,1976,null
06,29,1976,null
06,30,1976,null
07,01,1976,3.3
07,02,1976,3.8
07,03,1976,6.9
07,04,1976,null
07,05,1976,8.0
07,06,1976,2.8
07,07,1976,5.5
07,08,1976,3.3
07,09,1976,5.0
07,10,1976,null
07,11,1976,5.5
07,12,1976,4.4
07,13,1976,5.1
07,14,1976,1.0
07,15,1976,null
07,16,1976,7.7
07,17,1976,8.4
07,18,1976,11.2
07,19,1976,10.8
07,20,1976,6.5
07,21,1976,9.9
07,22,1976,10.6
07,23,1976,6.8
07,24,1976,13.8
07,25,1976,10.9
07,26,1976,6.0
07,27,1976,15.1
07,28,1976,9.0
07,29,1976,9.9
07,30,1976,9.0
07,31,1976,10.2
08,01,1976,7.09
08,02,1976,null
08,03,1976,10.19
08,04,1976,10.61
08,05,1976,12.1
08,06,1976,10.0
08,07,1976,7.93
08,08,1976,9.72
08,09,1976,9.96
08,10,1976,7.49
08,11,1976,11.53
08,12,1976,12.15
08,13,1976,9.12
08,14,1976,5.56
08,15,1976,2.2
08,16,1976,1.73
08,17,1976,6.38
08,18,1976,3.51
08,19,1976,8.21
08,20,1976,7.44
08,21,1976,11.84
08,22,1976,7.75
08,23,1976,7.6
08,24,1976,9.77
08,25,1976,9.48
08,26,1976,10.89
