Id:,20060
Estación:,LAS CUEVAS-OAX
Posición:,16.45N -95.3219444444W
Variable:,Temp Mínima (oC)
Fecha Inicial:,10/01/1948
Fecha Final:,02/01/1983
No Dato:,nan
Mes,Día,Anio,Datos
10,01,1948,null
10,02,1948,null
10,03,1948,null
10,04,1948,null
10,05,1948,null
10,06,1948,20.5
10,07,1948,24.5
10,08,1948,23.0
10,09,1948,24.0
10,10,1948,23.0
10,11,1948,22.0
10,12,1948,24.0
10,13,1948,21.0
10,14,1948,23.0
10,15,1948,29.0
10,16,1948,24.0
10,17,1948,26.5
10,18,1948,22.0
10,19,1948,23.0
10,20,1948,25.0
10,21,1948,23.0
10,22,1948,24.0
10,23,1948,25.0
10,24,1948,24.0
10,25,1948,23.0
10,26,1948,25.0
10,27,1948,23.0
10,28,1948,22.0
10,29,1948,21.0
10,30,1948,22.0
10,31,1948,21.5
11,01,1948,22.0
11,02,1948,24.0
11,03,1948,24.0
11,04,1948,19.0
11,05,1948,21.0
11,06,1948,21.5
11,07,1948,22.0
11,08,1948,21.0
11,09,1948,21.0
11,10,1948,24.0
11,11,1948,22.0
11,12,1948,23.0
11,13,1948,25.0
11,14,1948,24.0
11,15,1948,21.0
11,16,1948,26.0
11,17,1948,23.0
11,18,1948,20.0
11,19,1948,20.0
11,20,1948,20.0
11,21,1948,19.0
11,22,1948,20.0
11,23,1948,22.0
11,24,1948,24.0
11,25,1948,21.0
11,26,1948,20.0
11,27,1948,22.0
11,28,1948,21.0
11,29,1948,18.5
11,30,1948,19.0
12,01,1948,21.0
12,02,1948,21.0
12,03,1948,24.0
12,04,1948,23.0
12,05,1948,21.0
12,06,1948,20.0
12,07,1948,21.0
12,08,1948,19.0
12,09,1948,20.0
12,10,1948,23.0
12,11,1948,21.5
12,12,1948,20.0
12,13,1948,21.0
12,14,1948,22.0
12,15,1948,22.0
12,16,1948,21.0
12,17,1948,21.5
12,18,1948,22.0
12,19,1948,20.0
12,20,1948,20.0
12,21,1948,20.0
12,22,1948,20.5
12,23,1948,23.0
12,24,1948,23.0
12,25,1948,20.5
12,26,1948,21.0
12,27,1948,22.0
12,28,1948,23.0
12,29,1948,20.5
12,30,1948,21.5
12,31,1948,19.5
01,01,1949,20.5
01,02,1949,18.0
01,03,1949,15.0
01,04,1949,18.0
01,05,1949,17.5
01,06,1949,22.5
01,07,1949,22.0
01,08,1949,22.0
01,09,1949,22.5
01,10,1949,22.0
01,11,1949,25.0
01,12,1949,24.5
01,13,1949,23.0
01,14,1949,22.5
01,15,1949,21.5
01,16,1949,21.5
01,17,1949,16.5
01,18,1949,16.5
01,19,1949,22.5
01,20,1949,22.5
01,21,1949,21.0
01,22,1949,22.0
01,23,1949,17.5
01,24,1949,18.0
01,25,1949,18.0
01,26,1949,21.0
01,27,1949,17.0
01,28,1949,17.0
01,29,1949,19.5
01,30,1949,19.0
01,31,1949,19.0
02,01,1949,18.5
02,02,1949,21.0
02,03,1949,21.1
